Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Bayesian Type Based Reasoning: [<class 'axelrod.strategies.titfortat.TitForTat'>, <class 'axelrod.strategies.axelrod_first.FirstByTidemanAndChieruzzi'>, <class 'axelrod.strategies.axelrod_first.FirstByNydegger'>, <class 'axelrod.strategies.axelrod_first.FirstByGrofman'>, <class 'axelrod.strategies.axelrod_first.FirstByShubik'>, <class 'axelrod.strategies.axelrod_first.FirstBySteinAndRapoport'>, <class 'axelrod.strategies.grudger.Grudger'>, <class 'axelrod.strategies.axelrod_first.FirstByDavis'>, <class 'axelrod.strategies.axelrod_first.FirstByGraaskamp'>, <class 'axelrod.strategies.axelrod_first.FirstByDowning'>, <class 'axelrod.strategies.axelrod_first.FirstByFeld'>, <class 'axelrod.strategies.axelrod_first.FirstByJoss'>, <class 'axelrod.strategies.axelrod_first.FirstByTullock'>, <class 'axelrod.strategies.axelrod_first.FirstByAnonymous'>, <class 'axelrod.strategies.rand.Random'>], 0.05, 100, 5",2.951,0.7566666666666667,4.0,1.0,0.7216666666666667,0.034999999999999996,0.13566666666666663,0.10766666666666665,0.970761539591247,0.7694277711084434,0.7349836825027665,0.35096153846153844
1,"First by Stein and Rapoport: 0.05: (D, D)",2.627666666666667,0.6296666666666667,11.0,1.0,0.5893333333333333,0.04033333333333333,0.12233333333333332,0.24799999999999991,0.9818302068302067,0.3091736694677871,0.591085802417324,0
2,First by Shubik,2.575,0.6406666666666667,3.0,1.0,0.599,0.04166666666666666,0.10466666666666666,0.25466666666666665,1.0,0,0.1475211228359979,0.12027169842224443
3,Tit For Tat,2.5589999999999997,0.748,0.0,1.0,0.6756666666666666,0.07233333333333333,0.07,0.182,1.0,0,1.0,0
4,First by Grofman,2.5343333333333335,0.853,1.0,1.0,0.7100000000000001,0.143,0.06433333333333334,0.08266666666666667,1.0,0.27682823129251705,0.25832080799799595,1.0
5,"First by Tideman and Chieruzzi: (D, D)",2.5193333333333334,0.6286666666666667,12.0,1.0,0.612,0.016666666666666666,0.07800000000000001,0.29333333333333333,0.9971139971139971,0.12941176470588237,0.36205718096190714,0
6,First by Nydegger,2.5016666666666665,0.9966666666666667,0.0,1.0,0.831,0.16566666666666666,0.0013333333333333333,0.0019999999999999996,0.999290780141844,0.9961377176731216,1.0,0.5
7,First by Davis: 10,2.4483333333333333,0.5843333333333334,4.0,1.0,0.5740000000000001,0.010333333333333335,0.07766666666666668,0.33799999999999997,0.9925925925925926,0.9097222222222222,0,0
8,Grudger,2.405666666666667,0.5693333333333334,5.0,1.0,0.5663333333333334,0.003,0.069,0.36166666666666664,1.0,0,0,0
9,First by Graaskamp: 0.05,2.2856666666666663,0.5993333333333334,4.0,1.0,0.4216666666666667,0.17766666666666667,0.15499999999999997,0.24566666666666664,0.9437166895997745,0.7768795479567838,0.8787140637140637,0.47013068120106244
10,First by Downing,2.1053333333333333,0.44266666666666665,6.0,0.0,0.308,0.13466666666666666,0.15599999999999997,0.40133333333333326,0.9948979591836735,0.742739898989899,0.3369082428292955,0.5630970551205536
11,"First by Feld: 1.0, 0.5, 200",2.0313333333333334,0.3413333333333333,10.0,1.0,0.286,0.05533333333333334,0.12866666666666668,0.53,0.9107339501157072,0,0.8047691894218004,0
12,First by Joss: 0.9,1.8973333333333333,0.3536666666666667,11.0,1.0,0.285,0.06866666666666667,0.09899999999999999,0.5473333333333333,0.8967196515880953,0,0.9409027496265782,0
13,First by Tullock,1.8646666666666667,0.3293333333333333,9.0,1.0,0.25799999999999995,0.07133333333333333,0.10500000000000001,0.5656666666666667,0.8147643380534753,0.511911692594658,0.6078843905208561,0.1679384560187582
14,First by Anonymous,1.773,0.49,5.0,0.3333333333333333,0.17300000000000001,0.317,0.186,0.32399999999999995,0.46802384165102395,0.47214774535437454,0.4672897797184372,0.5139822928940998
15,Random: 0.5,1.5456666666666665,0.497,3.0,0.4666666666666667,0.14533333333333334,0.3516666666666667,0.15166666666666664,0.35133333333333333,0.5179254738992741,0.5077327912108321,0.49374625380562415,0.5097097447590698
