Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Bayesian Type Based Reasoning: [<class 'axelrod.strategies.titfortat.TitForTat'>, <class 'axelrod.strategies.axelrod_first.FirstByTidemanAndChieruzzi'>, <class 'axelrod.strategies.axelrod_first.FirstByNydegger'>, <class 'axelrod.strategies.axelrod_first.FirstByGrofman'>, <class 'axelrod.strategies.axelrod_first.FirstByShubik'>, <class 'axelrod.strategies.axelrod_first.FirstBySteinAndRapoport'>, <class 'axelrod.strategies.grudger.Grudger'>, <class 'axelrod.strategies.axelrod_first.FirstByDavis'>, <class 'axelrod.strategies.axelrod_first.FirstByGraaskamp'>, <class 'axelrod.strategies.axelrod_first.FirstByDowning'>, <class 'axelrod.strategies.axelrod_first.FirstByFeld'>, <class 'axelrod.strategies.axelrod_first.FirstByJoss'>, <class 'axelrod.strategies.axelrod_first.FirstByTullock'>, <class 'axelrod.strategies.axelrod_first.FirstByAnonymous'>, <class 'axelrod.strategies.rand.Random'>], 0.05, 100, 5",2.6566666666666667,0.45266666666666666,7.0,0.9333333333333333,0.36266666666666664,0.09,0.2553333333333333,0.29200000000000004,0.7023766308947458,0.5115935432617976,0.4424296536796537,0.26766955382062463
1,First by Downing,2.239,0.35733333333333334,8.0,0.0,0.22766666666666663,0.12966666666666668,0.22833333333333336,0.41433333333333333,0.7580454281976531,0.5434984782026505,0.32100348275463436,0.33190717694751765
2,First by Davis: 10,2.095,0.135,12.0,1.0,0.08600000000000001,0.049000000000000016,0.24300000000000002,0.622,0.7631133458754942,0.2763756613756614,0.09817025152377847,0.054439869255280396
3,Tit For Tat,2.079,0.4816666666666667,5.0,0.9333333333333333,0.33799999999999997,0.14366666666666666,0.1366666666666667,0.3816666666666667,0.9596620739891745,0.06425495509492546,0.9598662271693584,0.05226574384002793
4,First by Joss: 0.9,2.0763333333333334,0.402,8.0,1.0,0.271,0.131,0.16633333333333333,0.43166666666666664,0.8645951579133955,0.04920895072739078,0.8650997981605398,0.06044725476885574
5,Grudger,2.0606666666666666,0.079,14.0,1.0,0.03899999999999999,0.04,0.2556666666666666,0.6653333333333333,0.6132371855197941,0.1696825396825397,0.08252718180106858,0.05126486672495633
6,"First by Feld: 1.0, 0.5, 200",2.057,0.341,10.0,0.8666666666666667,0.21400000000000002,0.12700000000000003,0.18900000000000003,0.4699999999999999,0.826993911399136,0.07122004806787416,0.7657419122956881,0.07020117532552547
7,"First by Stein and Rapoport: 0.05: (D, D)",2.0096666666666665,0.32666666666666666,7.0,1.0,0.21700000000000003,0.10966666666666665,0.1713333333333333,0.502,0.8742532714400414,0.1327179300687365,0.7161904013693803,0.07105209813147889
8,"First by Tideman and Chieruzzi: (D, D)",1.9723333333333335,0.31033333333333335,12.0,1.0,0.22399999999999998,0.08633333333333333,0.15266666666666667,0.537,0.8821424307247009,0.15683595961628,0.4671372951950987,0.0554803809693299
9,First by Shubik,1.9303333333333332,0.257,10.0,1.0,0.14733333333333334,0.10966666666666669,0.18633333333333335,0.5566666666666666,0.8830616514805156,0.06311583678023007,0.21356487936396543,0.15263465553638764
10,First by Nydegger,1.8636666666666666,0.899,1.0,1.0,0.5133333333333333,0.38566666666666666,0.05566666666666666,0.04533333333333333,0.8971128853163263,0.8947950990997994,0.7476239842029316,0.6714377731769036
11,First by Grofman,1.8603333333333334,0.6653333333333333,2.0,0.9333333333333333,0.3383333333333333,0.327,0.12766666666666668,0.207,0.9255504736542548,0.3189643993197292,0.3191962954012774,0.9475718709722902
12,First by Graaskamp: 0.05,1.7953333333333332,0.464,8.0,1.0,0.22866666666666666,0.2353333333333333,0.14333333333333334,0.39266666666666666,0.839338580236413,0.5120886249579663,0.6522742083368113,0.2756755511335957
13,First by Tullock,1.7646666666666666,0.288,10.0,0.9333333333333333,0.17,0.11800000000000004,0.13566666666666669,0.5763333333333333,0.6987642200744185,0.4119554722948498,0.33216953418881956,0.17814440813813182
14,First by Anonymous,1.6466666666666667,0.5076666666666667,3.0,0.2,0.16566666666666666,0.342,0.16433333333333333,0.32799999999999996,0.47409517321293687,0.518329037818605,0.49899864743366196,0.5218674717961455
15,Random: 0.5,1.5983333333333334,0.5036666666666667,3.0,0.5333333333333333,0.16333333333333333,0.3403333333333333,0.15299999999999997,0.3433333333333333,0.5719380741677532,0.5047193654249141,0.5077110113795812,0.49499180558499645
