Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Bayesian Type Based Reasoning: [<class 'axelrod.strategies.titfortat.TitForTat'>, <class 'axelrod.strategies.axelrod_first.FirstByTidemanAndChieruzzi'>, <class 'axelrod.strategies.axelrod_first.FirstByNydegger'>, <class 'axelrod.strategies.axelrod_first.FirstByGrofman'>, <class 'axelrod.strategies.axelrod_first.FirstByShubik'>, <class 'axelrod.strategies.axelrod_first.FirstBySteinAndRapoport'>, <class 'axelrod.strategies.grudger.Grudger'>, <class 'axelrod.strategies.axelrod_first.FirstByDavis'>, <class 'axelrod.strategies.axelrod_first.FirstByGraaskamp'>, <class 'axelrod.strategies.axelrod_first.FirstByDowning'>, <class 'axelrod.strategies.axelrod_first.FirstByFeld'>, <class 'axelrod.strategies.axelrod_first.FirstByJoss'>, <class 'axelrod.strategies.axelrod_first.FirstByTullock'>, <class 'axelrod.strategies.axelrod_first.FirstByAnonymous'>, <class 'axelrod.strategies.rand.Random'>], 0.05, 100, 4",2.929333333333333,0.7323333333333333,5.0,1.0,0.7076666666666668,0.02466666666666667,0.13466666666666666,0.133,0.9727414330218068,0.7557783347257031,0.264422501004085,0.8333333333333333
1,"First by Stein and Rapoport: 0.05: (D, D)",2.6510000000000002,0.6676666666666666,11.0,1.0,0.6106666666666667,0.057,0.12166666666666665,0.21066666666666664,0.99016354016354,0.2035714285714286,0.6303479068945412,0
2,First by Grofman,2.5776666666666666,0.864,1.0,1.0,0.7289999999999999,0.13499999999999998,0.06366666666666666,0.07233333333333333,1.0,0.3655643807052612,0.3496448460565337,1.0
3,Tit For Tat,2.5660000000000003,0.75,0.0,1.0,0.6746666666666667,0.07533333333333332,0.07300000000000001,0.17700000000000002,1.0,0,1.0,0
4,First by Shubik,2.552333333333333,0.643,3.0,1.0,0.6020000000000001,0.041,0.09733333333333333,0.2596666666666667,1.0,0,0.1542991912045751,0.10853082631580957
5,"First by Tideman and Chieruzzi: (D, D)",2.503333333333333,0.615,12.0,1.0,0.599,0.015999999999999997,0.08033333333333333,0.30466666666666664,0.9971139971139971,0,0.3517429990644276,0
6,First by Nydegger,2.503333333333333,0.994,0.0,1.0,0.8280000000000001,0.16599999999999993,0.0033333333333333322,0.0026666666666666657,0.9985347985347985,0.9960496594281414,0.375,0.5666666666666667
7,Grudger,2.4516666666666667,0.5663333333333334,5.0,1.0,0.5633333333333334,0.003,0.082,0.3516666666666666,1.0,0,0,0
8,First by Davis: 10,2.451,0.5713333333333334,4.0,1.0,0.5616666666666668,0.009666666666666667,0.08433333333333334,0.3443333333333333,1.0,0.7698412698412699,0,0
9,First by Downing,2.222666666666667,0.37766666666666665,7.0,0.0,0.27566666666666667,0.10200000000000001,0.1933333333333333,0.429,0.9940476190476191,0.6821338383838383,0.3384433305485937,0.48712364581381096
10,First by Graaskamp: 0.05,2.1656666666666666,0.5433333333333333,4.0,1.0,0.38966666666666666,0.15366666666666667,0.13499999999999998,0.3216666666666666,0.9502084030600008,0.8764107120243941,0.8602401011133687,0.3826867763109374
11,"First by Feld: 1.0, 0.5, 200",2.026666666666667,0.3463333333333333,11.0,1.0,0.29233333333333333,0.05400000000000001,0.12400000000000001,0.5296666666666666,0.8909302992927264,0,0.8445990779723289,0
12,First by Joss: 0.9,1.9453333333333334,0.37233333333333335,13.0,1.0,0.3023333333333334,0.07,0.10266666666666667,0.525,0.881778979885087,0,0.9305385929146031,0
13,First by Tullock,1.7273333333333334,0.30666666666666664,8.0,1.0,0.23933333333333337,0.06733333333333333,0.079,0.6143333333333333,0.8568792223445729,0.5488087748785389,0.6069025855956417,0.09756896697825117
14,First by Anonymous,1.6090000000000002,0.5,4.0,0.6666666666666666,0.15499999999999997,0.34500000000000003,0.161,0.339,0.49476499664193163,0.4848422820762538,0.46045946419388323,0.514574100858871
15,Random: 0.5,1.525,0.5146666666666667,3.0,0.4,0.15633333333333332,0.35833333333333334,0.14266666666666664,0.3426666666666666,0.47576035822167073,0.5292380226966373,0.5385971465929602,0.5185987132148362
