Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Bayesian Type Based Reasoning: [<class 'axelrod.strategies.grudger.Grudger'>, <class 'axelrod.strategies.titfortat.TitFor2Tats'>, <class 'axelrod.strategies.titfortat.TitForTat'>, <class 'axelrod.strategies.titfortat.Bully'>, <class 'axelrod.strategies.axelrod_first.FirstByJoss'>, <class 'axelrod.strategies.finite_state_machines.Predator'>], 0.05, 100, 6",2.747,0.8046666666666666,2.0,1.0,0.767,0.037666666666666675,0.06266666666666668,0.13266666666666668,1.0,0.8347222222222221,0.5164835164835165,0.02836386945141819
1,"First by Stein and Rapoport: 0.05: (D, D)",2.6510000000000002,0.6676666666666666,11.0,1.0,0.6106666666666667,0.057,0.12166666666666665,0.21066666666666664,0.99016354016354,0.2035714285714286,0.6303479068945412,0
2,First by Grofman,2.5776666666666666,0.864,1.0,1.0,0.7289999999999999,0.13499999999999998,0.06366666666666666,0.07233333333333333,1.0,0.3655643807052612,0.3496448460565337,1.0
3,Tit For Tat,2.5660000000000003,0.75,0.0,1.0,0.6746666666666667,0.07533333333333332,0.07300000000000001,0.17700000000000002,1.0,0,1.0,0
4,First by Shubik,2.552333333333333,0.643,3.0,1.0,0.6020000000000001,0.041,0.09733333333333333,0.2596666666666667,1.0,0,0.1542991912045751,0.10853082631580957
5,"First by Tideman and Chieruzzi: (D, D)",2.503333333333333,0.615,12.0,1.0,0.599,0.015999999999999997,0.08033333333333333,0.30466666666666664,0.9971139971139971,0,0.3517429990644276,0
6,First by Nydegger,2.503333333333333,0.994,0.0,1.0,0.8280000000000001,0.16599999999999993,0.0033333333333333322,0.0026666666666666657,0.9985347985347985,0.9960496594281414,0.375,0.5666666666666667
7,Grudger,2.4516666666666667,0.5663333333333334,5.0,1.0,0.5633333333333334,0.003,0.082,0.3516666666666666,1.0,0,0,0
8,First by Davis: 10,2.451,0.5713333333333334,4.0,1.0,0.5616666666666668,0.009666666666666667,0.08433333333333334,0.3443333333333333,1.0,0.7698412698412699,0,0
9,First by Graaskamp: 0.05,2.253333333333333,0.5433333333333333,5.0,1.0,0.41533333333333344,0.128,0.13766666666666666,0.31899999999999995,0.949134991167816,0.8731285146778105,0.8602401011133687,0.27980123902942694
10,First by Downing,2.2243333333333335,0.31266666666666665,7.0,0.0,0.25366666666666665,0.05899999999999999,0.19399999999999998,0.4933333333333333,0.9928571428571429,0.6215277777777778,0.3384433305485937,0.41099769922154317
11,"First by Feld: 1.0, 0.5, 200",2.031,0.3466666666666667,11.0,1.0,0.293,0.05366666666666667,0.12466666666666666,0.5286666666666666,0.8910001748604655,0,0.8410230647685879,0
12,First by Joss: 0.9,1.9460000000000002,0.37266666666666665,13.0,1.0,0.30266666666666675,0.07,0.10266666666666667,0.5246666666666667,0.8818141547247311,0,0.9305385929146031,0
13,First by Tullock,1.8666666666666667,0.35833333333333334,9.0,1.0,0.29233333333333333,0.06599999999999999,0.087,0.5546666666666666,0.8532311812398844,0.5320428394517503,0.6288806075736637,0.09756896697825117
14,First by Anonymous,1.6193333333333333,0.5,4.0,0.6666666666666666,0.1566666666666666,0.3433333333333333,0.16233333333333333,0.3376666666666666,0.482347176387424,0.485398273703674,0.4404241207943537,0.5151792423744953
15,Random: 0.5,1.5236666666666667,0.5146666666666667,3.0,0.4,0.15633333333333332,0.35833333333333334,0.1423333333333333,0.34299999999999997,0.47576035822167073,0.5292380226966373,0.541813575475707,0.518957262559455
